date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:24	35092/35092	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Oct%202021%2002:43:23%20GMT	https://themesflat.com/html/kababi/index.html	D:/Saylani/Web%20Development/assignment4/project/food/themesflat.com/html/kababi/index.html	(from )
14:52:25	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Jan%202022%2009:53:30%20GMT	https://themesflat.com/robots.txt		(from )
14:52:26	32291/32291	---MCZ	200	added ('OK')	text/css	etag:W/%22a8d9-5ceaba1b4c490%22	https://themesflat.com/html/kababi/assets/css/style.css	D:/Saylani/Web%20Development/assignment4/project/food/themesflat.com/html/kababi/assets/css/style.css	(from https://themesflat.com/html/kababi/index.html)
14:52:26	17281/17281	---M--	200	added ('OK')	image/png	etag:%224381-5ceaba489f40d%22	https://themesflat.com/html/kababi/assets/icon/favicon.png	D:/Saylani/Web%20Development/assignment4/project/food/themesflat.com/html/kababi/assets/icon/favicon.png	(from https://themesflat.com/html/kababi/index.html)
14:52:27	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Jan%202022%2009:53:32%20GMT	https://themesflat.com/html/kababi/assets/icon/logo.png	D:/Saylani/Web%20Development/assignment4/project/food/themesflat.com/html/kababi/assets/icon/logo.png	(from https://themesflat.com/html/kababi/index.html)
14:52:28	4963/4963	---M--	200	added ('OK')	image/png	etag:%221363-5ceabacc0e71c%22	https://themesflat.com/html/kababi/assets/img/logo/logo.png	D:/Saylani/Web%20Development/assignment4/project/food/themesflat.com/html/kababi/assets/img/logo/logo.png	(from https://themesflat.com/html/kababi/index.html)
14:52:28	30561/30561	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Oct%202021%2002:43:21%20GMT	https://themesflat.com/html/kababi/home2.html	D:/Saylani/Web%20Development/assignment4/project/food/themesflat.com/html/kababi/home2.html	(from https://themesflat.com/html/kababi/index.html)
14:52:29	34194/34194	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Oct%202021%2002:43:23%20GMT	https://themesflat.com/html/kababi/home3.html	D:/Saylani/Web%20Development/assignment4/project/food/themesflat.com/html/kababi/home3.html	(from https://themesflat.com/html/kababi/index.html)
14:52:29	18669/18669	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Oct%202021%2002:43:22%20GMT	https://themesflat.com/html/kababi/about.html	D:/Saylani/Web%20Development/assignment4/project/food/themesflat.com/html/kababi/about.html	(from https://themesflat.com/html/kababi/index.html)
14:52:30	14512/14512	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Oct%202021%2002:43:24%20GMT	https://themesflat.com/html/kababi/our-chefs.html	D:/Saylani/Web%20Development/assignment4/project/food/themesflat.com/html/kababi/our-chefs.html	(from https://themesflat.com/html/kababi/index.html)
